ID,Country,Lat,Long,Year,Month,Day,NAFO,Length,Age,Sex
HI_SS0296,Canada,49.72651,-53.66882,2018,9,18,3K,329,3,F
HI_SS0297,Canada,49.72651,-53.66882,2018,9,18,3K,340,3,F
HI_SS0299,Canada,49.72651,-53.66882,2018,9,18,3K,324,3,F
HI_SS0300,Canada,49.72651,-53.66882,2018,9,18,3K,351,3,M
HI_SS0301,Canada,49.72651,-53.66882,2018,9,18,3K,308,3,M
HI_SS0302,Canada,49.72651,-53.66882,2018,9,18,3K,333,3,F
HI_SS0303,Canada,49.72651,-53.66882,2018,9,18,3K,326,3,F
HI_SS0304,Canada,49.72651,-53.66882,2018,9,18,3K,301,3,F
HI_SS0306,Canada,49.72651,-53.66882,2018,9,18,3K,316,3,M
HI_SS0307,Canada,49.72651,-53.66882,2018,9,18,3K,327,3,M
HI_SS0308,Canada,49.72651,-53.66882,2018,9,18,3K,318,3,M
HI_SS0309,Canada,49.72651,-53.66882,2018,9,18,3K,314,3,M
HI_SS0310,Canada,49.72651,-53.66882,2018,9,18,3K,306,3,F
HI_SS0311,Canada,49.72651,-53.66882,2018,9,18,3K,312,3,F
HI_SS0314,Canada,50.00158,-55.27626,2018,9,18,3K,388,5,M
HI_SS0316,Canada,50.00158,-55.27626,2018,9,18,3K,358,5,F
HI_SS0317,Canada,50.00158,-55.27626,2018,9,18,3K,352,3,M
HI_SS0318,Canada,50.00158,-55.27626,2018,9,18,3K,369,4,M
HI_SS0319,Canada,50.00158,-55.27626,2018,9,18,3K,321,3,M
HI_SS0320,Canada,50.00158,-55.27626,2018,9,18,3K,358,"NA",M
HI_SS0321,Canada,50.00158,-55.27626,2018,9,18,3K,325,3,F
HI_SS0323,Canada,50.00158,-55.27626,2018,9,18,3K,303,4,M
HI_SS0325,Canada,50.00158,-55.27626,2018,9,18,3K,332,3,F
HI_SS0327,Canada,50.00158,-55.27626,2018,9,18,3K,308,3,F
