"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","run_id","burnin","iterations","k","ln_prob_data","mean_llh","var_llh","mean_alpha"
"2","k1_r1","10000","100000","1","-2479535.8","-2478503.4","2064.8","0.0029"
"3","k2_r1","10000","100000","2","-2471493.6","-2469306.0","4375.2","0.0336"
"4","k3_r1","10000","100000","3","-2472187.1","-2467730.4","8913.2","0.0379"
"5","k4_r1","10000","100000","4","-2479055.1","-2466489.5","25131.1","0.0446"
"6","k5_r1","10000","100000","5","-2482698.0","-2465477.3","34441.3","0.0493"
"7","k6_r1","10000","100000","6","-2487617.6","-2464544.4","46146.4","0.0547"
"8","k7_r1","10000","100000","7","-2496280.0","-2463699.8","65160.5","0.0575"
"9","k8_r1","10000","100000","8","-2496304.8","-2462654.8","67299.9","0.0654"
"10","k9_r1","10000","100000","9","-2487256.4","-2461898.3","50716.2","0.0683"
"11","k10_r1","10000","100000","10","-2495031.3","-2460972.9","68116.9","0.0808"
"12","k1_r2","10000","100000","1","-2479529.9","-2478503.2","2053.4","0.0029"
"13","k2_r2","10000","100000","2","-2471509.9","-2469301.7","4416.5","0.0338"
"14","k3_r2","10000","100000","3","-2472930.5","-2467712.5","10436.2","0.0376"
"15","k4_r2","10000","100000","4","-2478027.5","-2466583.9","22887.3","0.0426"
"16","k5_r2","10000","100000","5","-2481996.2","-2465483.3","33025.9","0.0518"
"17","k6_r2","10000","100000","6","-2493835.9","-2464581.0","58509.8","0.0556"
"18","k7_r2","10000","100000","7","-2496696.3","-2463671.1","66050.4","0.0621"
"19","k8_r2","10000","100000","8","-2494354.0","-2462892.6","62922.9","0.0598"
"20","k9_r2","10000","100000","9","-2545633.3","-2461738.3","167790.0","0.0854"
"21","k10_r2","10000","100000","10","-2501634.2","-2461042.9","81182.6","0.0678"
"22","k1_r3","10000","100000","1","-2479537.6","-2478503.2","2068.8","0.0022"
"23","k2_r3","10000","100000","2","-2471520.5","-2469302.7","4435.6","0.0338"
"24","k3_r3","10000","100000","3","-2472166.6","-2467730.4","8872.3","0.0380"
"25","k4_r3","10000","100000","4","-2479456.9","-2466526.9","25859.9","0.0445"
"26","k5_r3","10000","100000","5","-2491506.5","-2465573.5","51866.0","0.0492"
"27","k6_r3","10000","100000","6","-2500070.6","-2464502.7","71135.8","0.0654"
"28","k7_r3","10000","100000","7","-2491230.2","-2463747.7","54964.9","0.0582"
"29","k8_r3","10000","100000","8","-2494872.4","-2462825.8","64093.3","0.0603"
"30","k9_r3","10000","100000","9","-2492631.4","-2462017.3","61228.4","0.0622"
"31","k10_r3","10000","100000","10","-2494761.3","-2461150.8","67221.0","0.0634"
