"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","run_id","burnin","iterations","k","ln_prob_data","mean_llh","var_llh","mean_alpha"
"2","k1_r1","100000","200000","1","-2479537.8","-2478503.4","2068.9","0.0014"
"3","k2_r1","100000","200000","2","-2471509.8","-2469308.2","4403.1","0.0333"
"4","k3_r1","100000","200000","3","-2471494.6","-2467761.5","7466.2","0.0369"
"5","k4_r1","100000","200000","4","-2472666.2","-2466594.6","12143.1","0.0385"
"6","k5_r1","100000","200000","5","-2472057.6","-2465587.2","12940.9","0.0406"
"7","k6_r1","100000","200000","6","-2471809.9","-2464620.3","14379.3","0.0407"
"8","k7_r1","100000","200000","7","-2473555.1","-2463695.5","19719.1","0.0424"
"9","k8_r1","100000","200000","8","-2473871.7","-2462905.3","21932.7","0.0451"
"10","k9_r1","100000","200000","9","-2476412.2","-2462121.5","28581.3","0.0429"
"11","k10_r1","100000","200000","10","-2477185.0","-2461268.2","31833.5","0.0471"
"12","k1_r2","100000","200000","1","-2479537.6","-2478503.4","2068.4","0.0011"
"13","k2_r2","100000","200000","2","-2471518.2","-2469311.8","4412.8","0.0334"
"14","k3_r2","100000","200000","3","-2471714.3","-2467748.3","7931.9","0.0369"
"15","k4_r2","100000","200000","4","-2472370.5","-2466558.1","11624.8","0.0387"
"16","k5_r2","100000","200000","5","-2473237.0","-2465592.3","15289.3","0.0404"
"17","k6_r2","100000","200000","6","-2473086.6","-2464652.6","16868.1","0.0425"
"18","k7_r2","100000","200000","7","-2474656.3","-2463807.0","21698.5","0.0423"
"19","k8_r2","100000","200000","8","-2475242.2","-2462869.3","24745.9","0.0438"
"20","k9_r2","100000","200000","9","-2474437.9","-2462065.6","24744.6","0.0466"
"21","k10_r2","100000","200000","10","-2489657.0","-2461300.3","56713.3","0.0458"
"22","k1_r3","100000","200000","1","-2479532.5","-2478503.4","2058.3","0.0012"
"23","k2_r3","100000","200000","2","-2471524.1","-2469309.4","4429.4","0.0334"
"24","k3_r3","100000","200000","3","-2471483.9","-2467752.6","7462.6","0.0370"
"25","k4_r3","100000","200000","4","-2471758.0","-2466583.3","10349.5","0.0382"
"26","k5_r3","100000","200000","5","-2473897.6","-2465576.2","16642.8","0.0399"
"27","k6_r3","100000","200000","6","-2474056.9","-2464655.4","18803.0","0.0418"
"28","k7_r3","100000","200000","7","-2476184.4","-2463784.3","24800.1","0.0422"
"29","k8_r3","100000","200000","8","-2474848.5","-2462916.7","23863.7","0.0436"
"30","k9_r3","100000","200000","9","-2473156.4","-2462037.3","22238.2","0.0443"
"31","k10_r3","100000","200000","10","-2475380.9","-2461238.5","28285.0","0.0469"
"32","k1_r4","100000","200000","1","-2479531.6","-2478503.1","2057.1","0.0015"
"33","k2_r4","100000","200000","2","-2471516.0","-2469308.3","4415.4","0.0335"
"34","k3_r4","100000","200000","3","-2471131.8","-2467753.4","6757.0","0.0370"
"35","k4_r4","100000","200000","4","-2472299.8","-2466662.1","11275.4","0.0387"
"36","k5_r4","100000","200000","5","-2473202.9","-2465521.2","15363.5","0.0404"
"37","k6_r4","100000","200000","6","-2474288.5","-2464570.1","19436.8","0.0411"
"38","k7_r4","100000","200000","7","-2474525.5","-2463662.3","21726.5","0.0429"
"39","k8_r4","100000","200000","8","-2475347.5","-2462862.8","24969.4","0.0443"
"40","k9_r4","100000","200000","9","-2475631.4","-2462006.1","27250.5","0.0452"
"41","k10_r4","100000","200000","10","-2476348.3","-2461278.5","30139.6","0.0453"
"42","k1_r5","100000","200000","1","-2479536.0","-2478503.4","2065.2","0.0013"
"43","k2_r5","100000","200000","2","-2471515.6","-2469310.6","4410.1","0.0334"
"44","k3_r5","100000","200000","3","-2471257.8","-2467758.4","6998.7","0.0367"
"45","k4_r5","100000","200000","4","-2471998.4","-2466581.5","10833.8","0.0389"
"46","k5_r5","100000","200000","5","-2474380.3","-2465587.8","17585.0","0.0405"
"47","k6_r5","100000","200000","6","-2473825.2","-2464597.0","18456.3","0.0416"
"48","k7_r5","100000","200000","7","-2474529.0","-2463766.8","21524.3","0.0433"
"49","k8_r5","100000","200000","8","-2476410.1","-2462856.3","27107.7","0.0444"
"50","k9_r5","100000","200000","9","-2474250.5","-2462069.5","24362.0","0.0466"
"51","k10_r5","100000","200000","10","-2481295.8","-2461426.3","39739.0","0.0447"
"52","k1_r6","100000","200000","1","-2479538.6","-2478503.1","2070.9","0.0017"
"53","k2_r6","100000","200000","2","-2471514.2","-2469308.5","4411.5","0.0334"
"54","k3_r6","100000","200000","3","-2471269.8","-2467745.4","7048.7","0.0370"
"55","k4_r6","100000","200000","4","-2471976.8","-2466593.0","10767.8","0.0382"
"56","k5_r6","100000","200000","5","-2474598.3","-2465524.7","18147.3","0.0400"
"57","k6_r6","100000","200000","6","-2474738.6","-2464650.6","20176.0","0.0407"
"58","k7_r6","100000","200000","7","-2474551.3","-2463754.5","21593.6","0.0418"
"59","k8_r6","100000","200000","8","-2473063.2","-2462845.2","20436.0","0.0429"
"60","k9_r6","100000","200000","9","-2477925.9","-2461994.5","31862.8","0.0452"
"61","k10_r6","100000","200000","10","-2476770.0","-2461353.5","30832.9","0.0469"
"62","k1_r7","100000","200000","1","-2479528.9","-2478503.3","2051.3","0.0019"
"63","k2_r7","100000","200000","2","-2471511.9","-2469311.1","4401.6","0.0334"
"64","k3_r7","100000","200000","3","-2471328.6","-2467759.8","7137.5","0.0371"
"65","k4_r7","100000","200000","4","-2471673.9","-2466584.4","10179.1","0.0393"
"66","k5_r7","100000","200000","5","-2474960.7","-2465718.2","18485.0","0.0401"
"67","k6_r7","100000","200000","6","-2472084.5","-2464572.6","15023.8","0.0415"
"68","k7_r7","100000","200000","7","-2473006.3","-2463722.1","18568.3","0.0432"
"69","k8_r7","100000","200000","8","-2473495.6","-2462871.6","21248.0","0.0426"
"70","k9_r7","100000","200000","9","-2474962.5","-2462083.6","25757.9","0.0444"
"71","k10_r7","100000","200000","10","-2477173.4","-2461245.1","31856.6","0.0465"
"72","k1_r8","100000","200000","1","-2479528.3","-2478503.3","2050.1","0.0014"
"73","k2_r8","100000","200000","2","-2471502.4","-2469308.4","4388.1","0.0335"
"74","k3_r8","100000","200000","3","-2471657.0","-2467767.3","7779.3","0.0367"
"75","k4_r8","100000","200000","4","-2472836.5","-2466610.1","12452.9","0.0383"
"76","k5_r8","100000","200000","5","-2472809.6","-2465614.6","14390.1","0.0398"
"77","k6_r8","100000","200000","6","-2474156.1","-2464564.6","19183.1","0.0420"
"78","k7_r8","100000","200000","7","-2474672.1","-2463751.0","21842.2","0.0423"
"79","k8_r8","100000","200000","8","-2476689.3","-2462878.1","27622.5","0.0435"
"80","k9_r8","100000","200000","9","-2478690.2","-2462060.2","33259.8","0.0446"
"81","k10_r8","100000","200000","10","-2478424.9","-2461306.6","34236.7","0.0452"
"82","k1_r9","100000","200000","1","-2479538.9","-2478503.3","2071.2","0.0015"
"83","k2_r9","100000","200000","2","-2471510.2","-2469310.2","4400.1","0.0335"
"84","k3_r9","100000","200000","3","-2471983.6","-2467782.7","8401.9","0.0364"
"85","k4_r9","100000","200000","4","-2471744.7","-2466617.3","10255.0","0.0377"
"86","k5_r9","100000","200000","5","-2474600.1","-2465640.0","17920.2","0.0403"
"87","k6_r9","100000","200000","6","-2471417.9","-2464680.2","13475.2","0.0417"
"88","k7_r9","100000","200000","7","-2476736.3","-2463722.7","26027.2","0.0420"
"89","k8_r9","100000","200000","8","-2474844.4","-2462900.7","23887.4","0.0427"
"90","k9_r9","100000","200000","9","-2475172.0","-2462106.8","26130.4","0.0446"
