"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","run_id","burnin","iterations","k","ln_prob_data","mean_llh","var_llh","mean_alpha"
"2","k1_r1","100000","200000","1","-2068751.1","-2067774.0","1954.2","0.0013"
"3","k2_r1","100000","200000","2","-2068971.0","-2066213.5","5515.0","1.0367"
"4","k3_r1","100000","200000","3","-2069275.2","-2064765.6","9019.2","1.3092"
"5","k4_r1","100000","200000","4","-2069908.4","-2063287.5","13242.0","2.0006"
"6","k5_r1","100000","200000","5","-2070368.3","-2061914.8","16906.9","1.8338"
"7","k6_r1","100000","200000","6","-2070669.1","-2060616.5","20105.3","1.9103"
"8","k7_r1","100000","200000","7","-2070394.2","-2059432.6","21923.2","1.6697"
"9","k8_r1","100000","200000","8","-2071340.5","-2058294.8","26091.4","1.4905"
"10","k1_r2","100000","200000","1","-2068760.0","-2067774.1","1971.9","0.0011"
"11","k2_r2","100000","200000","2","-2069051.7","-2066223.2","5656.9","0.8090"
"12","k3_r2","100000","200000","3","-2069584.5","-2064776.9","9615.2","1.3815"
"13","k4_r2","100000","200000","4","-2069733.1","-2063289.3","12887.7","1.9915"
"14","k5_r2","100000","200000","5","-2070039.5","-2061914.9","16249.3","1.9942"
"15","k6_r2","100000","200000","6","-2070963.9","-2060630.3","20667.2","1.8133"
"16","k7_r2","100000","200000","7","-2071676.6","-2059436.8","24479.6","1.7377"
"17","k8_r2","100000","200000","8","-2072032.3","-2058246.5","27571.5","1.6674"
"18","k1_r3","100000","200000","1","-2068755.3","-2067774.1","1962.5","0.0012"
"19","k2_r3","100000","200000","2","-2068951.3","-2066207.5","5487.6","1.1157"
"20","k3_r3","100000","200000","3","-2069510.1","-2064755.2","9509.9","1.6546"
"21","k4_r3","100000","200000","4","-2070071.2","-2063321.5","13499.3","1.5982"
"22","k5_r3","100000","200000","5","-2069896.0","-2061920.7","15950.6","1.8351"
"23","k6_r3","100000","200000","6","-2070691.3","-2060621.6","20139.4","1.8532"
"24","k7_r3","100000","200000","7","-2070780.6","-2059448.7","22663.8","1.6709"
"25","k8_r3","100000","200000","8","-2071763.5","-2058323.6","26879.9","1.4530"
"26","k1_r4","100000","200000","1","-2068755.1","-2067773.9","1962.3","0.0016"
"27","k2_r4","100000","200000","2","-2069016.4","-2066214.7","5603.4","0.9915"
