Ind.ID origin.pop pred.pop CAN US
HI_SS0024 CAN CAN 1 0
HI_SS0027 CAN CAN 1 0
HI_SS0041 CAN CAN 1 0
HI_SS0043 CAN CAN 1 0
HI_SS0054 CAN US 0.333333333333333 0.666666666666667
HI_SS0087 CAN CAN 1 0
HI_SS0114 CAN CAN 1 0
HI_SS0124 CAN US 0.333333333333333 0.666666666666667
HI_SS0127 CAN CAN 1 0
HI_SS0134 CAN CAN 1 0
HI_SS0149 CAN CAN 1 0
HI_SS0151 CAN CAN 1 0
NS_SS1431 CAN US 0.333333333333333 0.666666666666667
NS_SS0820 US US 0 1
NS_SS0884 US US 0.333333333333333 0.666666666666667
NS_SS1445 CAN CAN 1 0
NS_SS0846 US US 0 1
NS_SS0757 US US 0.333333333333333 0.666666666666667
NS_SS0751 US CAN 1 0
NS_SS0867 US US 0 1
NS_SS0758 US US 0 1
NS_SS0837 US US 0.333333333333333 0.666666666666667
NS_SS0829 US US 0 1
NS_SS1008 US US 0 1
NS_SS0881 US US 0 1
NS_SS0834 US US 0.333333333333333 0.666666666666667
NS_SS1265 CAN CAN 1 0
NS_SS0822 US US 0 1
NS_SS1007 US US 0 1
NS_SS0872 US US 0 1
NS_SS1262 CAN CAN 1 0
NS_SS0759 US US 0.333333333333333 0.666666666666667
NS_SS0830 US US 0.333333333333333 0.666666666666667
NS_SS1011 US US 0 1
NS_SS0831 US US 0 1
