beta  ances 
0.262 0.216
0.270 0.215
0.278 0.217
0.277 0.213
0.278 0.214
0.278 0.214
0.279 0.214
0.281 0.216
0.282 0.215
0.283 0.215
0.281 0.215
0.282 0.216
0.283 0.216
0.281 0.215
0.281 0.216
0.282 0.217
0.283 0.217
0.282 0.216
0.282 0.216
0.284 0.216
0.283 0.216
0.284 0.216
0.283 0.217
0.284 0.217
0.284 0.217
0.284 0.217
0.284 0.217
0.284 0.217
0.285 0.217
0.284 0.217
0.284 0.217
0.284 0.217
0.284 0.217
0.285 0.217
0.285 0.218
0.285 0.218
0.285 0.218
0.285 0.218
0.286 0.218
0.285 0.218
0.286 0.218
0.285 0.219
0.285 0.219
0.286 0.218
0.286 0.218
0.285 0.218
0.285 0.218
0.286 0.218
0.286 0.218
