beta  ances 
0.255 0.241
0.256 0.236
0.257 0.236
0.257 0.240
0.257 0.234
0.254 0.232
0.255 0.232
0.254 0.230
0.254 0.227
0.254 0.227
0.254 0.227
0.255 0.228
0.255 0.227
0.255 0.228
0.255 0.228
0.256 0.228
0.255 0.229
0.255 0.230
0.254 0.230
0.253 0.230
0.254 0.230
0.254 0.231
0.254 0.231
0.254 0.232
0.254 0.232
0.254 0.231
0.254 0.232
0.254 0.232
0.254 0.232
0.254 0.232
0.254 0.232
0.254 0.232
0.254 0.233
0.254 0.233
0.254 0.232
0.254 0.232
0.254 0.232
0.254 0.233
0.254 0.232
0.254 0.232
0.254 0.232
0.254 0.232
0.254 0.233
0.254 0.233
0.254 0.233
0.254 0.233
0.254 0.233
0.254 0.233
0.254 0.234
