beta  ances 
0.317 0.223
0.290 0.221
0.301 0.219
0.296 0.224
0.295 0.225
0.296 0.227
0.289 0.233
0.283 0.233
0.289 0.233
0.288 0.233
0.286 0.233
0.285 0.233
0.279 0.234
0.277 0.234
0.275 0.235
0.275 0.235
0.273 0.234
0.274 0.235
0.273 0.236
0.271 0.237
0.272 0.237
0.273 0.237
0.273 0.236
0.272 0.236
0.271 0.237
0.271 0.237
0.271 0.237
0.274 0.236
0.274 0.236
0.273 0.236
0.272 0.236
0.272 0.236
0.271 0.235
0.272 0.235
0.274 0.235
0.275 0.235
0.273 0.235
0.272 0.236
0.271 0.236
0.271 0.236
0.270 0.235
0.270 0.235
0.269 0.236
0.268 0.236
0.269 0.235
0.269 0.235
0.268 0.235
0.268 0.235
0.268 0.235
